Club Atlético Aldosivi,Aldosivi,27,"28,6",2,"14,15 Mill. €",524 Th. €,First Tier -  Argentina
Club de Gimnasia y Esgrima La Plata,Gimnasia,29,"26,0",5,"13,98 Mill. €",482 Th. €,First Tier -  Argentina
Club Atlético San Martín (SJ),San Martín,29,"28,9",4,"9,33 Mill. €",322 Th. €,First Tier -  Argentina
Club Atlético San Martín (Tucumán),San Martín (T),23,"27,7",2,"6,60 Mill. €",287 Th. €,First Tier -  Argentina
Club Atlético Patronato de la Juventud Católica,Patronato,25,"28,6",1,"4,93 Mill. €",197 Th. €,First Tier -  Argentina
Atlanta United FC,Atlanta United,31,"25,2",16,"43,25 Mill. €","1,40 Mill. €",First Tier -  United States
Toronto FC,Toronto FC,29,"26,8",20,"33,70 Mill. €","1,16 Mill. €",First Tier -  United States
Los Angeles FC,Los Angeles FC,28,"26,4",16,"32,95 Mill. €","1,18 Mill. €",First Tier -  United States
Los Angeles Galaxy,LA Galaxy,26,"27,7",14,"27,98 Mill. €","1,08 Mill. €",First Tier -  United States
Portland Timbers,Timbers,30,"27,2",22,"26,75 Mill. €",892 Th. €,First Tier -  United States
D.C. United,D.C. United,27,"26,7",13,"24,65 Mill. €",913 Th. €,First Tier -  United States
Seattle Sounders FC,Sounders FC,27,"27,3",15,"24,08 Mill. €",892 Th. €,First Tier -  United States
Vancouver Whitecaps,Vancouver,30,"25,7",21,"23,55 Mill. €",785 Th. €,First Tier -  United States
New York City FC,NYCFC,30,"25,9",18,"22,90 Mill. €",763 Th. €,First Tier -  United States
Sporting Kansas City,Kansas,28,"26,8",13,"21,78 Mill. €",778 Th. €,First Tier -  United States
Chicago Fire,Chicago Fire,29,"26,8",16,"20,98 Mill. €",723 Th. €,First Tier -  United States
Columbus Crew SC,Columbus Crew,27,"26,6",13,"20,93 Mill. €",775 Th. €,First Tier -  United States
New York Red Bulls,NY Red Bulls,29,"25,0",15,"20,55 Mill. €",709 Th. €,First Tier -  United States
Montreal Impact,Montreal Impact,31,"27,0",21,"19,78 Mill. €",638 Th. €,First Tier -  United States
Philadelphia Union,Philadelphia,28,"26,3",13,"18,80 Mill. €",671 Th. €,First Tier -  United States
San Jose Earthquakes,Quakes,30,"25,9",13,"18,13 Mill. €",604 Th. €,First Tier -  United States
Orlando City SC,Orlando City SC,29,"26,8",13,"17,65 Mill. €",609 Th. €,First Tier -  United States
Colorado Rapids,Colorado,29,"26,8",15,"17,38 Mill. €",599 Th. €,First Tier -  United States
Minnesota United FC,Minnesota Utd.,30,"27,5",16,"16,90 Mill. €",563 Th. €,First Tier -  United States
Real Salt Lake City,Salt Lake,31,"27,0",12,"16,03 Mill. €",517 Th. €,First Tier -  United States
FC Dallas,FC Dallas,29,"24,6",16,"15,40 Mill. €",531 Th. €,First Tier -  United States
Houston Dynamo,Houston,29,"27,8",15,"15,18 Mill. €",523 Th. €,First Tier -  United States
New England Revolution,Revolution,27,"26,4",14,"15,08 Mill. €",558 Th. €,First Tier -  United States
